Graph edges: vertex 1, vertex 2, weight of the edge

edge: 0, 1, 4
edge: 0, 2, 1
edge: 1, 2, 7
edge: 1, 3, 3
edge: 2, 5, 2
edge: 3, 4, 5
edge: 3, 5, 6
edge: 3, 6, 4
edge: 4, 7, 9
edge: 4, 8, 8
edge: 5, 6, 15
edge: 5, 10, 10
edge: 5, 11, 9
edge: 6, 7, 5
edge: 6, 12, 8
edge: 7, 8, 4
edge: 7, 15, 3
edge: 8, 9, 7
edge: 8, 13, 11
edge: 8, 14, 5
edge: 9, 27, 8
edge: 10, 11, 5
edge: 10, 18, 7
edge: 11, 15, 2
edge: 11, 23, 9
edge: 12, 13, 5
edge: 13, 16, 4
edge: 14, 25, 8
edge: 15, 16, 5
edge: 15, 21, 1
edge: 16, 25, 6
edge: 17, 18, 4
edge: 18, 19, 8
edge: 19, 20, 6
edge: 19, 22, 7
edge: 20, 25, 4
edge: 21, 24, 9
edge: 21, 25, 4
edge: 22, 23, 5
edge: 22, 24, 4
edge: 25, 27, 3
edge: 25, 37, 1
edge: 26, 27, 1
edge: 26, 28, 7
edge: 27, 28, 5
edge: 27, 29, 8
edge: 28, 33, 3
edge: 29, 30, 2
edge: 29, 38, 4
edge: 29, 39, 7
edge: 30, 31, 3
edge: 30, 35, 4
edge: 31, 32, 4
edge: 33, 34, 6
edge: 33, 39, 5
edge: 34, 35, 7
edge: 34, 36, 4
edge: 35, 36, 8
edge: 35, 40, 11
edge: 36, 42, 5
edge: 37, 43, 9
edge: 37, 44, 8
edge: 38, 41, 10
edge: 38, 43, 3
edge: 39, 40, 4
edge: 39, 41, 6
edge: 40, 42, 3
edge: 41, 42, 7
edge: 41, 44, 2
edge: 42, 45, 5
edge: 42, 48, 4
edge: 43, 44, 6
edge: 44, 46, 11
edge: 45, 46, 12
edge: 45, 47, 10
edge: 46, 47, 9
edge: 47, 48, 3

Kruskal spanning tree edges: vertex 1, vertex 2, weight of the edge

edge: 0, 2, 1
edge: 25, 37, 1
edge: 26, 27, 1
edge: 15, 21, 1
edge: 41, 44, 2
edge: 2, 5, 2
edge: 29, 30, 2
edge: 11, 15, 2
edge: 7, 15, 3
edge: 40, 42, 3
edge: 38, 43, 3
edge: 47, 48, 3
edge: 1, 3, 3
edge: 25, 27, 3
edge: 28, 33, 3
edge: 30, 31, 3
edge: 7, 8, 4
edge: 17, 18, 4
edge: 39, 40, 4
edge: 0, 1, 4
edge: 3, 6, 4
edge: 42, 48, 4
edge: 20, 25, 4
edge: 21, 25, 4
edge: 22, 24, 4
edge: 29, 38, 4
edge: 13, 16, 4
edge: 30, 35, 4
edge: 31, 32, 4
edge: 34, 36, 4
edge: 22, 23, 5
edge: 33, 39, 5
edge: 8, 14, 5
edge: 27, 28, 5
edge: 10, 11, 5
edge: 42, 45, 5
edge: 3, 4, 5
edge: 12, 13, 5
edge: 15, 16, 5
edge: 6, 7, 5
edge: 36, 42, 5
edge: 19, 20, 6
edge: 43, 44, 6
edge: 39, 41, 6
edge: 8, 9, 7
edge: 19, 22, 7
edge: 10, 18, 7
edge: 46, 47, 9

Kruskal spanning tree weight is 195
